name,IDs,stakeholder_categories,Contents,date
خالد الشبيبي,@abufahad_sh,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T20:01:08+00:00
مقتطفات شعرية,@Sh3r_lll,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T20:00:17+00:00
alanid11,@alanid113,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T19:59:55+00:00
aziz alshahri,@AlshahriAziz1,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:59:12+00:00
م ط ن و خ,@f21a4a6c89e14fe,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T19:57:43+00:00
💛💙 الاستثنائي 45 💙💛,@nnyyooff22,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:56:44+00:00
أبيات شعر,@1abyat_sh3r,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:56:04+00:00
تغذية فنيه,@TG_the11,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:55:53+00:00
🇸🇦🇸🇦🇸🇦,@sa_ze_love,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:55:34+00:00
MOHAMMED ABDELSATAR,@MOHAMME18579923,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:54:58+00:00
أجمل ما كُتب,@Shawkiat,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:54:32+00:00
الصورة تقول,@photo_says,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:54:20+00:00
اقتباسات شعريه |,@mrtq4,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:53:37+00:00
نثر,@1Nathir,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:53:08+00:00
حصه الربيعان💄👑,@hrs1111,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:51:17+00:00
Ahmad Ali,@AhmadAl69513641,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:47:07+00:00
نورتون,@Mohamme06477397,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:44:07+00:00
سعيد المالكي (ابو نواف),@sammalk12,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:42:07+00:00
أحمد عبدالله العلي,@AhmadAlAliMD,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-30T19:38:18+00:00
نصراووي برشلووني,@Mohammed7555,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:37:54+00:00
أحمد عبدالله العلي,@AhmadAlAliMD,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:37:49+00:00
حميد الحجوري,@58_1105,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T19:36:07+00:00
Rasha Al Sheikh,@RashaSheikh,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:34:31+00:00
bandar,@BandarCA99,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T19:32:36+00:00
سعد القويضي,@saadalqwdiee,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:30:42+00:00
مبارك الشهراني,@M_A_ALSHRANI,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:29:41+00:00
🕊fatimah🕊,@skoon201,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:29:41+00:00
د.بسمة السيوفي,@smileofswords,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:27:04+00:00
ا بـ ــن ثــ ــلــ ــج ,@mthalj,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:26:58+00:00
منيرة العمير,@LQuSK5uR6zsfZGo,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:26:02+00:00
Alzahrani 🇸🇦💙,@AlzhrBdr,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:25:22+00:00
إيـــلان,@nrvelan,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:20:28+00:00
إنسانية,@ensaneya,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:19:24+00:00
Eng.Abu-Majed,@abumajed1972,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:19:18+00:00
فوز الشايع,@alfoz5,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:18:49+00:00
وليد جميل قطان,@KattanWaleed,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:17:44+00:00
salman,@salmanalshamme1,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:17:12+00:00
ولد الطيبين,@wldalteebeen,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:17:01+00:00
ام بدر .,@mail196700,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:15:42+00:00
هوامير الصحراء,@al_bander10,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:15:14+00:00
ssaa,@tiger666777,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:12:24+00:00
Abu alwaleed,@zahram1h,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:09:33+00:00
عبدالرحمن الحسيني,@hamani82,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:04:43+00:00
عبدالرحمن الحسيني,@hamani82,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-30T19:04:38+00:00
🌺على الله توكلت🌺,@351036asma,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:04:05+00:00
فيصل زعفراني # الوحدة_ العميد ❤,@LabFaisal,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:02:21+00:00
عبدالله الفوزان,@Alfouzan100,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:01:49+00:00
s a l w a - نعود_بحذر,@salwashk,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T19:01:16+00:00
ben_mohsen🕵️,@honesty___words,,"إنجاز عظيم للبشرية ولله الحمد 👍
👏👏👏👏👏",2021-01-30T19:00:06+00:00
ابوصالح,@0554781761,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:57:21+00:00
تغريدات طبية,@Almedical11,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:57:05+00:00
سهام الليل،،،,@Dmmho7,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:55:01+00:00
Yousef,@yoofi23,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:54:10+00:00
عبدالله الباني,@AAAALBANI,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:54:04+00:00
أسعد حجازي,@as3adhijazi,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:53:58+00:00
عبدالعزيز بن عبدالله,@aziiz00,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:53:55+00:00
S,@S_S065,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-30T18:53:44+00:00
عبدالرزاق الصبحي,@abdurzak2030,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:52:23+00:00
ساراي,@se_meii,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:51:37+00:00
Love Sword90,@LoveSword90,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:51:34+00:00
ℍ𝕠𝕡𝕖☕︎︎,@noscom88,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:50:49+00:00
Abdulrhman alnouman,@Airn1981,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:50:33+00:00
𝐇amad 𝐒ulu ‘💎,@Hamad_018,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:50:19+00:00
طموح,@kb3b3b,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:50:07+00:00
Ebrahim Al Baqer,@ealbaqer,Caregiver,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:48:24+00:00
Ebrahim Al Baqer,@ealbaqer,Caregiver,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-30T18:48:21+00:00
 علووووش ツ⁦🇸🇦⁩⁦⁦⁦,@Mr_Ali213,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:44:49+00:00
أبو أحمد,@YAlRashdi4,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:44:41+00:00
ابوفهد,@kma13113,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:44:31+00:00
𝓗𝓐𝓢𝓢𝓐𝓝 〄,@Aljr7Alkhater,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:43:53+00:00
فيصل المهنا,@w6n_s,,سؤال للأطباء هل يعرف احد منكم يصلح لكبار السن ؟ هل هو مضمون النتائج لهم مقارنه بالجرعات اليوميه ؟,2021-01-30T18:43:43+00:00
Tot,@fmaltot1,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:43:36+00:00
Rodrigo Nunes Cal,@CalZole,Individual Other Health,"RT @NatureBiotech: In Brief: The EU approves #Leqvio (inclisiran), a first-in-class siRNA-based drug to lower cholesterol — an important mi…",2021-01-30T18:43:34+00:00
محمد,@4muhd,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:43:33+00:00
ن 💛 ص 💙 ر,@nassrawy1122,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:43:30+00:00
إبراهيم الفويرس,@alfuaires,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-30T18:42:33+00:00
متفائل,@moed020,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:42:20+00:00
إبراهيم الفويرس,@alfuaires,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:42:19+00:00
سعيد بن محيروم,@bozayed150,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:42:16+00:00
أبوناصر ❤️,@aldoosre_502,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:42:08+00:00
💛EISSA💙,@01Eissa,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:41:59+00:00
صدى الذكرى,@smajunaif,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:41:57+00:00
ريما (دمعة 511يتيمه),@reema_5111,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-30T18:41:56+00:00
د. صفوق بن حمود العنزي,@DrSafug,,"📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جديد لخفض الكوليسترول.

 نظرًا لآلية العمل الجديدة، فإن حقنتين في السنة كافية لخفض كوليسترول LDL الضار بنسبة 50 ٪.",2021-01-30T18:41:33+00:00
ALJOHARA.SULTAN 🔱,@ALJ0HARASULTAN,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T18:37:17+00:00
أعصار الصحراء,@DesertTyphoon,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T18:36:34+00:00
أبوناصر ❤️,@aldoosre_502,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T18:36:22+00:00
.,@m_rt65,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T18:34:23+00:00
نبيل بن أحمد,@xnabelx,,مافي شي للضغط ؟ 💔,2021-01-30T18:29:44+00:00
Cholesterin & Co e.V,@cholcoev,,"RT @KardiologieWien: Heute wurde an der kardiologischen Lipidambulanz der @MedUni_Wien zum weltweit ersten Mal #Inclisiran, ein neuer revol…",2021-01-30T18:27:10+00:00
Cholesterin & Co e.V,@cholcoev,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-30T18:26:36+00:00
عبدالعزيز العريفي,@abosltan__1,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T18:25:54+00:00
A.HAKIM M.BUALLAY,@BuallayA,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T17:56:39+00:00
"Dr Sam Raza, MD FACC FACP",@SamRRazaMD,Doctor,"RT @krychtiukmd: The beginning of a new era in lipid management @KardiologieWien @MedUni_Wien 

@rafavidalperez @DrMarthaGulati @RosselloXa…",2021-01-30T17:49:00+00:00
Michele Emdin,@MicheleEmdin,Doctor,"RT @krychtiukmd: The beginning of a new era in lipid management @KardiologieWien @MedUni_Wien 

@rafavidalperez @DrMarthaGulati @RosselloXa…",2021-01-30T17:45:45+00:00
LipidLover MD,@LipidLover1030,,@VietHeartPA @ShoaClarke @krychtiukmd @KardiologieWien @MedUni_Wien @rafavidalperez @DrMarthaGulati @RosselloXavier @SilCastelletti @purviparwani @SamRRazaMD @DrMichaelShapir @EkindigNP @ErinMichos Exciting times! Embrace inclisiran. The others will follow.  The key here is 2 x per year. Adherence is no longer an issue if the patient is alive.,2021-01-30T17:40:00+00:00
LipidLover MD,@LipidLover1030,,@VietHeartPA @ShoaClarke @krychtiukmd @KardiologieWien @MedUni_Wien @rafavidalperez @DrMarthaGulati @RosselloXavier @SilCastelletti @purviparwani @SamRRazaMD @DrMichaelShapir @EkindigNP @ErinMichos Exciting times! Embrace inclisiran. The others will follow.,2021-01-30T17:38:16+00:00
مؤيد محمد عبدالعزيز السيف,@saifmm0c,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T17:24:52+00:00
🇸🇦Abdulaziz Alhwaimel,@alhowaimel1,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T17:15:52+00:00
بسام التريكي,@BAMT007,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T17:03:39+00:00
sultan alshunifi,@sss_1970,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T17:00:35+00:00
Khaled Al-najim,@Khaled_Alnajim,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T16:59:18+00:00
Ali Al-Omri,@AliSOmari787,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T16:39:45+00:00
Dr. Purvi Parwani,@purviparwani,Doctor,"RT @krychtiukmd: The beginning of a new era in lipid management @KardiologieWien @MedUni_Wien 

@rafavidalperez @DrMarthaGulati @RosselloXa…",2021-01-30T16:34:45+00:00
bsam,@bsam2080,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T16:34:01+00:00
faris,@faris055h,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T16:23:57+00:00
خالد أبو وليد,@Abuwalid9999,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-30T16:23:31+00:00
